"","dates","titles","push","id","topic","theme","score","score2"
"1",2017-07-01,"[新聞] 一例一休反彈大 傳蔡鬆口朝三方向修法",-21,"M.1498866387.A.5A7","勞基法修法","政治",0.1,0.1
"2",2017-07-01,"Re: [新聞] 一例一休反彈大 傳蔡鬆口朝三方向修法",2,"M.1498868480.A.61E","勞基法修法","政治",0.5,0.5
"3",2017-07-01,"Re: [新聞] 一例一休反彈大 傳蔡鬆口朝三方向修法",2,"M.1498875648.A.C64","勞基法修法","政治",0.5,0.5
"4",2017-07-01,"[新聞] 例休新制7月起勞檢 勞動部交地方裁量",-3,"M.1498891930.A.B16","勞基法修法","政治",0.1,0.1
"5",2017-07-02,"[問卦] 會期待一例一休修法嗎？",5,"M.1498924831.A.86B","勞基法修法","政治",0.5,0.5
"6",2017-07-02,"[ＦＢ] 勞動部FB:愛台灣多看些優點",-8,"M.1499003670.A.266","勞基法修法","政治",0.1,0.1
"7",2017-07-02,"Re: [ＦＢ] 勞動部FB:愛台灣多看些優點",2,"M.1499005196.A.DBC","勞基法修法","政治",0.5,0.5
"8",2017-07-02,"Re: [ＦＢ] 勞動部FB:愛台灣多看些優點",-41,"M.1499006540.A.743","勞基法修法","政治",0.1,0.1
"9",2017-07-02,"Re: [ＦＢ] 勞動部FB:愛台灣多看些優點",0,"M.1499007846.A.11F","勞基法修法","政治",0.1,0.1
"10",2017-07-03,"Re: [ＦＢ] 勞動部FB:愛台灣多看些優點",-2,"M.1499012506.A.F61","勞基法修法","政治",0.1,0.1
"11",2017-07-03,"Re: [ＦＢ] 勞動部FB:愛台灣多看些優點",-2,"M.1499013372.A.EC3","勞基法修法","政治",0.1,0.1
"12",2017-07-03,"[問卦] 政府說目前勞基法輔導期？！",-1,"M.1499019727.A.A05","勞基法修法","政治",0.1,0.1
"13",2017-07-03,"Re: [ＦＢ] 勞動部FB:愛台灣多看些優點",0,"M.1499057405.A.586","勞基法修法","政治",0.1,0.1
"14",2017-07-03,"Re: [ＦＢ] 勞動部FB:愛台灣多看些優點",1,"M.1499058059.A.472","勞基法修法","政治",0.5,0.5
"15",2017-07-04,"[新聞] 兵力全球第13！勞動部PO我9項國際成績：",-67,"M.1499123957.A.EFA","勞基法修法","政治",0.1,0.1
"16",2017-07-04,"[新聞] 工資明細怎麼給　勞動部製作3種範本給僱",-5,"M.1499127425.A.426","勞基法修法","政治",0.1,0.1
"17",2017-07-04,"Re: [新聞] 兵力全球第13！勞動部PO我9項國際成績：",-1,"M.1499158180.A.EAB","勞基法修法","政治",0.1,0.1
"18",2017-07-04,"[問卦] 為什麼台灣老闆把勞基法當成最低標準？",28,"M.1499167708.A.D71","勞基法修法","政治",0.5,0.5
"19",2017-07-04,"Re: [問卦] 為什麼台灣老闆把勞基法當成最低標準？",7,"M.1499173109.A.F4A","勞基法修法","政治",0.5,0.5
"20",2017-07-04,"Re: [問卦] 為什麼台灣老闆把勞基法當成最低標準？",3,"M.1499174109.A.52E","勞基法修法","政治",0.5,0.5
"21",2017-07-05,"Re: [問卦] 為什麼台灣老闆把勞基法當成最低標準？",4,"M.1499228688.A.EEC","勞基法修法","政治",0.5,0.5
"22",2017-07-05,"Re: [問卦] 為什麼台灣老闆把勞基法當成最低標準？",1,"M.1499229117.A.98A","勞基法修法","政治",0.5,0.5
"23",2017-07-05,"[新聞] 一例一休修法　學者：鬆綁加班工時上限",-4,"M.1499243786.A.EF2","勞基法修法","政治",0.1,0.1
"24",2017-07-05,"Re: [新聞] 一例一休修法　學者：鬆綁加班工時上限",0,"M.1499244213.A.F7E","勞基法修法","政治",0.1,0.1
"25",2017-07-06,"[新聞] 今年勞檢增4倍？ 勞動部：報導誤解、過",-23,"M.1499299398.A.D3E","勞基法修法","政治",0.1,0.1
"26",2017-07-06,"[新聞] 勞動部：勞檢 勿將個案當通案",-44,"M.1499305731.A.044","勞基法修法","政治",0.1,0.1
"27",2017-07-07,"[新聞] 賴清德：一例一休應該修法 ",-37,"M.1499394152.A.329","勞基法修法","政治",0.1,0.1
"28",2017-07-07,"[爆卦] 亞東醫院：勞資鐘點戰 血汗上映中!!",547,"M.1499400651.A.F4E","勞基法修法","政治",6,3.5
"29",2017-07-07,"Re: [新聞] 賴清德：一例一休應該修法 ",6,"M.1499400932.A.D7E","勞基法修法","政治",0.5,0.5
"30",2017-07-07,"[新聞] 社會難以承當 賴清德也主張一例一休修法",-14,"M.1499402039.A.ACB","勞基法修法","政治",0.1,0.1
"31",2017-07-07,"Re: [新聞] 社會難以承當 賴清德也主張一例一休修法",0,"M.1499402295.A.B5A","勞基法修法","政治",0.1,0.1
"32",2017-07-07,"Re: [新聞] 社會難以承當 賴清德也主張一例一休修法",4,"M.1499406567.A.568","勞基法修法","政治",0.5,0.5
"33",2017-07-07,"[新聞] 一例一休修法有譜？經部密會產業界「蒐",-3,"M.1499408329.A.1BE","勞基法修法","政治",0.1,0.1
"34",2017-07-07,"[新聞] 一例一休再修法？傳勞動部8月底送修正草",-16,"M.1499409783.A.DD7","勞基法修法","政治",0.1,0.1
"35",2017-07-07,"Re: [新聞] 一例一休再修法？傳勞動部8月底送修正草",28,"M.1499411134.A.B82","勞基法修法","政治",0.5,0.5
"36",2017-07-07,"[新聞] 一例一休修法 賴清德：台南很多民眾反映",-30,"M.1499419976.A.489","勞基法修法","政治",0.1,0.1
"37",2017-07-07,"[問卦] 牙醫是不是都違反勞基法",0,"M.1499425140.A.F9D","勞基法修法","政治",0.1,0.1
"38",2017-07-08,"[新聞] 賴：一例一休應修法 勞部滅火：沒規劃",-8,"M.1499470257.A.0FB","勞基法修法","政治",0.1,0.1
"39",2017-07-08,"[新聞] 一例一休再修法？總統府：將持續改善勞",-8,"M.1499477093.A.7EF","勞基法修法","政治",0.1,0.1
"40",2017-07-08,"[新聞] 一例一休 柯P：若大家認為窒礙難行應修法",3,"M.1499486171.A.4C7","勞基法修法","政治",0.5,0.5
"41",2017-07-08,"Re: [新聞] 一例一休 柯P：若大家認為窒礙難行應修法",1,"M.1499487297.A.86E","勞基法修法","政治",0.5,0.5
"42",2017-07-08,"[問卦] 勞基法49條是不是在歧視女性?",16,"M.1499487385.A.2A3","勞基法修法","政治",0.5,0.5
"43",2017-07-08,"Re: [新聞] 一例一休 柯P：若大家認為窒礙難行應修法",8,"M.1499487531.A.BFD","勞基法修法","政治",0.5,0.5
"44",2017-07-08,"Re: [問卦] 勞基法49條是不是在歧視女性?",1,"M.1499488967.A.70D","勞基法修法","政治",0.5,0.5
"45",2017-07-08,"[新聞]【獨家】勞動部違法雇主查詢系統　預計12",6,"M.1499491407.A.D64","勞基法修法","政治",0.5,0.5
