"","dates","titles","push","id"
"1",2017-07-10,"[問卦] 明天煮什麼菜好?",10,"M.1499619116.A.D2E"
"2",2017-07-10,"Re: [爆卦] Obike亂象，如蝗蟲過境",1,"M.1499619141.A.573"
"3",2017-07-10,"[問卦] 怎麼慶祝登入次數滿1000",-3,"M.1499619144.A.53C"
"4",2017-07-10,"[問卦] 大家是怎麼開始反甲的?",0,"M.1499619152.A.31C"
"5",2017-07-10,"[新聞] 迷姦援交女劫財　想滅證反遭手機APP拍照",25,"M.1499619153.A.92D"
"6",2017-07-10,"Re: [新聞] 日本洋流發電設備發表，將在黑潮海域測試",6,"M.1499619167.A.EE8"
"7",2017-07-10,"Re: [新聞] 360度翻轉！　韓亞空難4週年新影片曝光",1,"M.1499619175.A.D3B"
"8",2017-07-10,"[新聞] 比特幣消失案 MtGox執行長下週受審",10,"M.1499619226.A.538"
"9",2017-07-10,"Re: [問卦] 版眾消失在世界上 有人會懷念嗎",5,"M.1499619236.A.B34"
"10",2017-07-10,"[問卦] 半夜聽到外面垃圾車音樂的八卦?",-4,"M.1499619254.A.4C6"
"11",2017-07-10,"[問卦] 有沒有騎過重機的人的八卦",13,"M.1499619318.A.EE8"
"12",2017-07-10,"[問卦] 有沒有人覺得33間堂很陰？",8,"M.1499619413.A.D6A"
"13",2017-07-10,"Re: [新聞] 工作十年控無預警資遣！老牌麵包店長淚訴",3,"M.1499619415.A.F64"
"14",2017-07-10,"[問卦] 高雄建國路",10,"M.1499619415.A.DA0"
"15",2017-07-10,"Re: [問卦] 男生長得高帥有用嗎?",4,"M.1499619417.A.3E9"
"16",2017-07-10,"[問卦] 如果世界上沒有A片A書A漫A圖會是怎樣？",4,"M.1499619427.A.5F3"
"17",2017-07-10,"[問卦] 真的有人會在游泳池尿尿嗎？",3,"M.1499619443.A.5C4"
"18",2017-07-10,"[問卦] 去蘭嶼騎摩托車是不是很危險？",8,"M.1499619535.A.161"
"19",2017-07-10,"[問卦] 女權主義者都是怎樣的人",8,"M.1499619551.A.215"
"20",2017-07-10,"Re: [新聞] 讓母語扎根 母語教學擬提早至幼兒園",6,"M.1499619559.A.DA7"
"21",2017-07-10,"[問卦] 頂尖大學全英語教學有搞頭嗎",14,"M.1499619586.A.CBF"
"22",2017-07-10,"[問卦] 我提議有女兒取名姆咪 學姐卻森77？",-3,"M.1499619660.A.ABD"
"23",2017-07-10,"Re: [新聞] 日本洋流發電設備發表，將在黑潮海域測試",11,"M.1499619753.A.D97"
"24",2017-07-10,"[問卦] Ptt夏  卓 的八卦？",4,"M.1499619772.A.B3F"
"25",2017-07-10,"[問卦] 都可以隨便的你說的",-1,"M.1499619780.A.1BE"
"26",2017-07-10,"Re: [新聞] 世大運開閉幕預算3.6億 柯文哲：一定賠錢",10,"M.1499619786.A.E89"
"27",2017-07-10,"[問卦] 如何從演化的角度解釋蘿莉控？",7,"M.1499619802.A.12D"
"28",2017-07-10,"Re: [問卦] 抽菸的人是不是很拉機",9,"M.1499619858.A.1EC"
"29",2017-07-10,"Re: [問卦] 頂尖大學全英語教學有搞頭嗎",2,"M.1499619891.A.196"
"30",2017-07-10,"[問卦] 證件大頭照一定要用相片紙印才算數喔？",-1,"M.1499619895.A.045"
"31",2017-07-10,"[問卦] 開始買pvc是不是就沒救了QQ",25,"M.1499619940.A.E65"
"32",2017-07-10,"[問卦] 肥宅哪時候會死光",1,"M.1499619958.A.450"
"33",2017-07-10,"[問卦] 銀魂現在演到哪 爛尾了嗎",8,"M.1499619980.A.149"
"34",2017-07-10,"[問卦] Imagine Dragons為啥翻譯成謎幻樂團",10,"M.1499620016.A.D9B"
"35",2017-07-10,"Re: [新聞] 讓母語扎根 母語教學擬提早至幼兒園",-2,"M.1499620020.A.187"
"36",2017-07-10,"Re: [新聞] 讓母語扎根 母語教學擬提早至幼兒園",174,"M.1499620126.A.D28"
"37",2017-07-10,"[新聞] 畢業生求職必看！大S尪開這價招員工",-11,"M.1499620141.A.6FA"
"38",2017-07-10,"Re: [問卦] 當年學測上的醫學生，現在有沒有後悔",29,"M.1499620151.A.B02"
"39",2017-07-10,"Re: [問卦] 如何從演化的角度解釋蘿莉控？",4,"M.1499620158.A.493"
"40",2017-07-10,"Re: [新聞] 謝啟大揭選新黨主席秘辛　批郁慕明「萬年",7,"M.1499620233.A.411"
"41",2017-07-10,"Re: [問卦] 英國人學美國腔容易，反之不容易？",8,"M.1499620252.A.42C"
"42",2017-07-10,"[問卦] 買什麼東西去百貨公司買不虧？",12,"M.1499620318.A.1C1"
"43",2017-07-10,"Re: [問卦] 真的有人會在游泳池尿尿嗎？",3,"M.1499620331.A.7F6"
"44",2017-07-10,"Re: [新聞] 迷姦援交女劫財　想滅證反遭手機APP拍照",3,"M.1499620348.A.A97"
"45",2017-07-10,"Re: [問卦] 如何從演化的角度解釋蘿莉控？",5,"M.1499620359.A.637"
"46",2017-07-10,"[問卦] 人生該做點什麼才不算白活？",10,"M.1499620463.A.450"
"47",2017-07-10,"Re: [問卦] 真的有人會在游泳池尿尿嗎？",0,"M.1499620536.A.08F"
"48",2017-07-10,"Re: [問卦] 館長背後的股東有多猛",2,"M.1499620558.A.085"
"49",2017-07-10,"Re: [問卦] 如果世界上沒有A片A書A漫A圖會是怎樣？",1,"M.1499620707.A.520"
"50",2017-07-10,"[問卦] 長澤雅美的弱點是不是瀏海",6,"M.1499620727.A.30A"
"51",2017-07-10,"[問卦] 如果早上游泳下午重訓會進化嗎？",2,"M.1499620729.A.992"
"52",2017-07-10,"[問卦] 為什麼現在game都自動打怪",15,"M.1499620758.A.0CC"
"53",2017-07-10,"[問卦] 想大便",1,"M.1499620845.A.5B2"
"54",2017-07-10,"[問卦] 女生這樣的行為該如何理解",10,"M.1499620859.A.DFB"
"55",2017-07-10,"Re: [問卦] 人生該做點什麼才不算白活？",3,"M.1499620870.A.A09"
"56",2017-07-10,"[問卦] 如果海角給豆導拍 范植偉還會紅嗎",1,"M.1499620940.A.B03"
"57",2017-07-10,"Re: [問卦] 姆咪在戰女動畫第二集會更有表現嗎？",4,"M.1499621077.A.8A4"
"58",2017-07-10,"Re: [問卦] 高中過太廢怎麼辦?",4,"M.1499621215.A.C5B"
"59",2017-07-10,"Re: [問卦] 高中過太廢怎麼辦?",10,"M.1499621230.A.7AF"
"60",2017-07-10,"Re: [新聞] 讓母語扎根 母語教學擬提早至幼兒園",3,"M.1499621249.A.C54"
"61",2017-07-10,"Re: [問卦] 高雄建國路",0,"M.1499621353.A.F48"
"62",2017-07-10,"[問卦] youtube壞了嗎？",0,"M.1499621375.A.D1B"
"63",2017-07-10,"Re: [問卦] 開始買pvc是不是就沒救了QQ",2,"M.1499621381.A.83F"
"64",2017-07-10,"[問卦] 還記得電腦課全班男生打cs嗎",19,"M.1499621438.A.26E"
"65",2017-07-10,"[問卦] 肥宅睡前跟誰說晚安",3,"M.1499621490.A.ECD"
