"","dates","titles","push","id"
"1",2017-09-17,"[問卦] 台北「東門站」附近有啥好吃的",29,"M.1505640981.A.17E"
"2",2017-09-17,"[問卦] 要怎麼從屌分辨主人的年齡啊？",-2,"M.1505641111.A.418"
"3",2017-09-17,"[問卦] 有沒有行政院長去屁電競比賽的掛?",-2,"M.1505641120.A.A1B"
"4",2017-09-17,"[問卦] 肥宅天天刷牙有加分嗎",-2,"M.1505641130.A.8FC"
"5",2017-09-17,"[問卦] 埃及是個怎麼樣的世界?",20,"M.1505641142.A.A39"
"6",2017-09-17,"Re: [新聞] 核2廠奇觀！史上最狂辦公桌　高層震怒",6,"M.1505641144.A.9E7"
"7",2017-09-17,"[問卦] 現在 sent from my iphone 還很潮嗎?",6,"M.1505641185.A.C13"
"8",2017-09-17,"Re: [問卦] 中國虧錢也要狂蓋地鐵?",4,"M.1505641220.A.FCC"
"9",2017-09-17,"Re: [問卦] 飛車槍戰，前面有優勢還是後面？",1,"M.1505641232.A.A80"
"10",2017-09-17,"[問卦] 花園夜市",1,"M.1505641233.A.622"
"11",2017-09-17,"[問卦] 海島國家都愛seafood的八卦",1,"M.1505641400.A.AE8"
"12",2017-09-17,"[新聞] 「要好好面對自己」女醫告男友10年前性侵",248,"M.1505641412.A.17F"
"13",2017-09-17,"[新聞] 林口長庚醫院證實醫師「隔空開刀」 將送",4,"M.1505641438.A.33B"
"14",2017-09-17,"[新聞] 醫師假開刀還隔空門診、查房　長庚認了",16,"M.1505641445.A.40C"
"15",2017-09-17,"[問卦] 醫生看到病人感謝宗教時在想什麼",7,"M.1505641470.A.928"
"16",2017-09-17,"[新聞] 產科醫師被爆假開刀真出國 長庚證實由別",24,"M.1505641489.A.68B"
"17",2017-09-17,"[問卦] 超級喜歡江宏傑！！！！！！！",9,"M.1505641500.A.38F"
"18",2017-09-17,"[問卦] 有沒有新竹學校不夠用的八卦",6,"M.1505641507.A.8BF"
"19",2017-09-17,"[問卦] 雷姆去到BG是不是會被蘇美給嗆爆?",0,"M.1505641526.A.E57"
"20",2017-09-17,"[問卦] 水冷系統到底都是誰在買的",30,"M.1505641582.A.EF0"
"21",2017-09-17,"Re: [問卦] 想創新教派，法號要叫妙「O」?",-2,"M.1505641584.A.5C5"
"22",2017-09-17,"[問卦] 有沒有臉書到底在幹麻的八卦?",1,"M.1505641691.A.BF7"
"23",2017-09-17,"Re: [問卦] 飛車槍戰，前面有優勢還是後面？",0,"M.1505641695.A.8FC"
"24",2017-09-17,"[問卦] 有沒有大一大二不分系系學會費的八卦",3,"M.1505641745.A.7DC"
"25",2017-09-17,"[問卦] 按摩椅的最高境界?",5,"M.1505641749.A.75D"
"26",2017-09-17,"Re: [ＦＢ] 請反同人士放過「家長」身份吧",8,"M.1505641750.A.F10"
"27",2017-09-17,"[問卦] 有沒有四大古文明的八卦？？",1,"M.1505641764.A.F39"
"28",2017-09-17,"Re: [新聞] 射殺非裔無罪… 美國聖路易怒火延燒",5,"M.1505641820.A.851"
"29",2017-09-17,"[問卦] 有沒有""民間公司""最狂的辦公桌是長怎樣?",-5,"M.1505641837.A.898"
"30",2017-09-17,"[新聞] 女店員接到訂位電話竟傳來「嬌喘聲」",-23,"M.1505641847.A.DC1"
"31",2017-09-17,"[問卦] 鬼可以打手槍嗎?",5,"M.1505641887.A.AEE"
"32",2017-09-17,"[問卦] 看了文茜周報 覺的中國好棒棒 ～怎麼辦？",47,"M.1505641890.A.EE6"
"33",2017-09-17,"[問卦] 柯南在第幾集前是神作?",16,"M.1505641954.A.723"
"34",2017-09-17,"Re: [問卦] 海濤法師怎麼看妙禪",7,"M.1505641967.A.879"
"35",2017-09-17,"[新聞] 驚！論文造假半年前被解聘 台大教授還在",9,"M.1505641998.A.439"
"36",2017-09-17,"[問卦] 有沒有米律玄師的八卦?",-1,"M.1505642005.A.060"
"37",2017-09-17,"[問卦] 少女為啥是妙",3,"M.1505642091.A.031"
"38",2017-09-17,"Re: [問卦] 有沒有四大古文明的八卦？？",6,"M.1505642101.A.7BD"
"39",2017-09-17,"[問卦] 國小布條恭賀校友考上醫學系是沾光嗎",10,"M.1505642166.A.6CF"
"40",2017-09-17,"[新聞] 男逼少女吃30條死金魚　最高法院判10年",10,"M.1505642167.A.923"
"41",2017-09-17,"[問卦] 一覺起來發現在二戰戰場怎麼辦",1,"M.1505642168.A.6E7"
"42",2017-09-17,"[問卦] 有沒有前ESPN主播－劉勇的八卦？",8,"M.1505642188.A.72A"
"43",2017-09-17,"[問卦] 突然下面癢怎麼辦",1,"M.1505642197.A.BB7"
"44",2017-09-17,"[問卦] 會站內信嗆人的都是什麼人?",28,"M.1505642199.A.821"
"45",2017-09-17,"Re: [新聞] 【變漂亮】許純美增胖20公斤模樣曝光！",-1,"M.1505642219.A.933"
"46",2017-09-17,"[ＦＢ] 凌宗魁 柯P帶領錯誤風向阻礙社會進步",-30,"M.1505642262.A.C24"
"47",2017-09-17,"[問卦] seafood為什麼不叫seefool?",2,"M.1505642265.A.7ED"
"48",2017-09-17,"[新聞] 建設性新聞 翻轉台灣新聞業",-2,"M.1505642349.A.876"
"49",2017-09-17,"[問卦] Snoop Dogg到底怎麼唸",-5,"M.1505642352.A.A20"
"50",2017-09-17,"[問卦] 為何去KTV慶生都要打架?",6,"M.1505642410.A.AF7"
"51",2017-09-17,"[問卦] 當兵最爽的是什麼?",15,"M.1505642412.A.DA5"
"52",2017-09-17,"Re: [問卦] 為什麼女生要一直撥頭髮？",4,"M.1505642423.A.3C9"
"53",2017-09-17,"[問卦] 哇靠！有人要闖進我家",-4,"M.1505642430.A.EA9"
"54",2017-09-17,"Re: [新聞] 有差嗎？主持人談妙禪seafood 「五月天歌",0,"M.1505642443.A.0B3"
"55",2017-09-17,"Re: [新聞] 一顆要價 24 萬！2020 年東京奧運　日本",0,"M.1505642444.A.0DD"
"56",2017-09-17,"[問卦] 有沒有簡體書很臭的八卦",6,"M.1505642489.A.1EB"
"57",2017-09-17,"[問卦] 去冰後還有多少冰才正常",2,"M.1505642554.A.BD8"
"58",2017-09-17,"[問卦] 桌遊可以玩到整個下午嗎",13,"M.1505642597.A.47E"
"59",2017-09-17,"[新聞] 哈孝遠告白成功！「你是我的女神」雞排妹",6,"M.1505642713.A.830"
"60",2017-09-17,"Re: [問卦] 為什麼女生要一直撥頭髮？",-2,"M.1505642749.A.7E4"
"61",2017-09-17,"[問卦] 師父何錯之有",-4,"M.1505642847.A.5D1"
"62",2017-09-17,"Re: [新聞] 一顆要價 24 萬！2020 年東京奧運　日本",6,"M.1505642906.A.BA2"
"63",2017-09-17,"[新聞] 異業結盟？台南多家飯店民宿驚傳淪為「月",8,"M.1505642948.A.296"
"64",2017-09-17,"[問卦] seafood死後會不會有舍利子?",8,"M.1505642952.A.81C"
"65",2017-09-17,"[新聞] 馬來西亞首相：若國家陷入混亂　華人會最",18,"M.1505642965.A.E81"
"66",2017-09-17,"[問卦] 為什麼義大利文跟西班牙文那麼像？？？",9,"M.1505642974.A.9E7"
"67",2017-09-17,"[問卦] 妙禪第三次成佛還會更強嗎",5,"M.1505643041.A.503"
"68",2017-09-17,"[問卦] 中壢火車站是境外之地?",5,"M.1505643049.A.FB4"
"69",2017-09-17,"Re: [問卦] 看了文茜周報 覺的中國好棒棒 ～怎麼辦？",4,"M.1505643134.A.D03"
"70",2017-09-17,"[問卦] 為啥只有馬來華人不願意融入當地",10,"M.1505643142.A.EED"
"71",2017-09-17,"[問卦] 現在黨工都要配備黨工襪？",6,"M.1505643196.A.17D"
"72",2017-09-17,"[新聞] 新詐騙手法　竄改QR-Code掏空你帳戶",10,"M.1505643247.A.395"
"73",2017-09-17,"[新聞] 店家結束營業 掛布條謝林佳龍德政",110,"M.1505643371.A.360"
"74",2017-09-17,"Re: [問卦] 英國法國不太強調是日耳曼後代的八卦?",1,"M.1505643487.A.4D3"
"75",2017-09-17,"Re: [問卦] 萬一妙禪真的是佛怎麼辦？",15,"M.1505643513.A.3E8"
"76",2017-09-17,"Re: [問卦] 為啥只有馬來華人不願意融入當地",0,"M.1505643527.A.F61"
"77",2017-09-17,"[問卦] 如何治理好城市？",-3,"M.1505643529.A.3D1"
"78",2017-09-17,"Re: [問卦] 有沒有簡體書很臭的八卦",3,"M.1505643556.A.681"
"79",2017-09-17,"[問卦] 聖結石對誰來晚餐的感覺是?",-6,"M.1505643590.A.1F8"
"80",2017-09-17,"Re: [問卦] 為啥只有馬來華人不願意融入當地",6,"M.1505643594.A.12D"
"81",2017-09-17,"Re: [新聞] 店家結束營業 掛布條謝林佳龍德政",-8,"M.1505643623.A.D8E"
"82",2017-09-17,"[問卦] 失溫死掉很痛苦嗎？",26,"M.1505643685.A.587"
"83",2017-09-17,"Re: [ＦＢ] 請反同人士放過「家長」身份吧",4,"M.1505643760.A.898"
"84",2017-09-17,"[問卦] 女生撥頭髮是何用意",-4,"M.1505643813.A.1CE"
"85",2017-09-17,"[問卦] 新宿事件的冰冰",2,"M.1505643825.A.B07"
"86",2017-09-17,"Re: [問卦] 騎自行車上武嶺均速30KM/H是什麼概念?",-4,"M.1505643844.A.72F"
"87",2017-09-17,"[問卦] PTT是不是都只剩老人在用?",9,"M.1505643845.A.8D2"
"88",2017-09-17,"[問卦] 還珠格格的皇后有多衰？",10,"M.1505643895.A.283"
"89",2017-09-17,"[問卦] 為什麼北門周圍不打燈啊",-2,"M.1505643968.A.100"
"90",2017-09-17,"[爆卦] 九份老街被日韓人包圍了",275,"M.1505644012.A.83E"
"91",2017-09-17,"[問卦] 目擊者是臺灣最強懸疑片嗎",3,"M.1505644024.A.EC1"
"92",2017-09-17,"[問卦] 有沒有優文認證的八卦？",-1,"M.1505644042.A.E08"
"93",2017-09-17,"[問卦] 嘿！妳在想我嗎？",-9,"M.1505644045.A.7F9"
"94",2017-09-17,"Re: [新聞] 詹詠然為世大運申請延賽？　美網終於回",-4,"M.1505644088.A.3CD"
"95",2017-09-17,"Re: [問卦] 嘿！妳在想我嗎？",0,"M.1505644134.A.D2C"
"96",2017-09-17,"Re: [新聞] 「要好好面對自己」女醫告男友10年前性侵",1,"M.1505644268.A.75B"
"97",2017-09-17,"Re: [問卦] 看了文茜周報 覺的中國好棒棒 ～怎麼辦？",3,"M.1505644294.A.2C3"
"98",2017-09-17,"[問卦] 有人沒去過九份的嗎? 值不值得去阿?",74,"M.1505644316.A.6AB"
"99",2017-09-17,"Re: [新聞] 馬來西亞首相：若國家陷入混亂　華人會最",2,"M.1505644397.A.C46"
"100",2017-09-17,"[問卦] LNG粉的年齡層都在哪啊?",11,"M.1505644455.A.CD9"
"101",2017-09-17,"[問卦] 連江縣是怎樣的地方?",5,"M.1505644477.A.FFB"
"102",2017-09-17,"[問卦] 是你背叛了我　背叛了我  背叛了我的感情",-2,"M.1505644495.A.447"
"103",2017-09-17,"Re: [問卦] 為啥只有馬來華人不願意融入當地",1,"M.1505644502.A.87B"
"104",2017-09-17,"Re: [問卦] 女生撥頭髮是何用意",35,"M.1505644519.A.0E0"
"105",2017-09-17,"[問卦] 吳興街是一個什麼地方阿?",31,"M.1505644561.A.CE8"
"106",2017-09-17,"[問卦] 徐懷鈺當年唱了妙妙妙得罪seafood才垮的?",4,"M.1505644583.A.7A5"
"107",2017-09-17,"Re: [新聞] 射殺非裔無罪… 美國聖路易怒火延燒",8,"M.1505644583.A.534"
"108",2017-09-17,"[問卦] 為什麼藝人的交往對象都是藝人",3,"M.1505644586.A.3A6"
"109",2017-09-17,"[問卦] 沒錢想要iPhone X怎麼辦？",12,"M.1505644593.A.050"
"110",2017-09-17,"Re: [新聞] 詹詠然為世大運申請延賽？　美網終於回",-1,"M.1505644598.A.BDC"
"111",2017-09-17,"[爆卦] 找到seafood有這麼多信徒的原因了!",7,"M.1505644606.A.E78"
"112",2017-09-17,"[問卦] 實況抽獎跟六合彩組頭有差在那嗎？",1,"M.1505644686.A.164"
"113",2017-09-17,"[問卦] SEIKO中階機械錶CP值比不贏Orient的卦?",12,"M.1505644729.A.D21"
"114",2017-09-17,"Re: [問卦] 還珠格格的皇后有多衰？",5,"M.1505644815.A.578"
"115",2017-09-17,"[問卦] 要怎麼委婉建議胖子不要騎腳踏車",3,"M.1505644833.A.897"
"116",2017-09-17,"[問卦] 最可怕的虛擬人物?",3,"M.1505644891.A.13B"
"117",2017-09-17,"[問卦] 我已開始練習？",-3,"M.1505644911.A.0D9"
"118",2017-09-17,"Re: [問卦] 有人沒去過九份的嗎? 值不值得去阿?",3,"M.1505644912.A.C92"
"119",2017-09-17,"[問卦] 請將眼角的淚拭去",7,"M.1505644914.A.7D6"
"120",2017-09-17,"[問卦] 男孩們跟女友出國會搭廉價航空嗎？",3,"M.1505644937.A.A2E"
"121",2017-09-17,"[新聞] 與大陸交流內幕被質疑說謊柯P聽到不回應",0,"M.1505644972.A.FC8"
"122",2017-09-17,"[問卦] 多個人經營同一個PTT帳號?",5,"M.1505644985.A.53D"
"123",2017-09-17,"[問卦] 為啥國外的youtuber都比較猛又有梗?",7,"M.1505645007.A.203"
"124",2017-09-17,"[問卦] D卡-請你們離大車遠一點！",-20,"M.1505645021.A.1FE"
"125",2017-09-17,"[問卦] 請正名瀧本123 誰再給我用日富美試試看",4,"M.1505645044.A.0E4"
"126",2017-09-17,"[問卦] 從小志願當 Costco 試吃人員的人多嗎?",2,"M.1505645072.A.373"
"127",2017-09-17,"[問卦] 什麼都輸,挫折感好重,唉",2,"M.1505645093.A.DBB"
"128",2017-09-17,"[問卦] 現在500GB硬碟值2500塊嗎？",42,"M.1505645099.A.D41"
"129",2017-09-17,"[問卦] 我基友交往13年的女友分手後隔年懷孕",5,"M.1505645205.A.5C1"
"130",2017-09-17,"[問卦] 有事業心又有事業線會發嗎?",-2,"M.1505645216.A.C6C"
"131",2017-09-17,"[問卦] 一人在臺北信義區吳興街有什麼好吃的?",9,"M.1505645278.A.08C"
"132",2017-09-17,"[問卦] seafood的法喜現金流八卦？",3,"M.1505645292.A.081"
"133",2017-09-17,"[問卦] 柯南的變聲器該更新了吧？",7,"M.1505645320.A.04B"
"134",2017-09-17,"[新聞] 《環時》社評轟周泓旭案 黑箱審判",-31,"M.1505645389.A.6A3"
"135",2017-09-17,"[問卦] 第一神拳的青木是不是很爽?",7,"M.1505645407.A.F8B"
"136",2017-09-17,"[問卦] 哪個行業最討厭台灣",6,"M.1505645417.A.201"
"137",2017-09-17,"[問卦] 有小孩的都怎麼處理他們發瘋尖叫",13,"M.1505645438.A.98C"
"138",2017-09-17,"Re: [新聞] 詹詠然為世大運申請延賽？　美網終於回",1,"M.1505645469.A.993"
"139",2017-09-17,"[問卦] 伍佰最經典的歌是甚麼",45,"M.1505645482.A.775"
"140",2017-09-17,"[新聞] 官方補助等太久 多數獨立書店寧可放棄",1,"M.1505645494.A.872"
"141",2017-09-17,"[問卦] 紫衣人是不是被下達了指令？",35,"M.1505645622.A.498"
"142",2017-09-17,"Re: [問卦] 不要讓新加坡看扁，來舉例台灣比新加坡好",5,"M.1505645651.A.836"
"143",2017-09-17,"[問卦] 台鐵的廣播",3,"M.1505645672.A.225"
"144",2017-09-17,"[問卦] 主管說他不幹了",3,"M.1505645673.A.CCA"
"145",2017-09-17,"[問卦] 為什麼那麼多女生喜歡權志龍？",7,"M.1505645676.A.81A"
"146",2017-09-17,"[問卦] 為何台灣早期連女生都歧視女生",9,"M.1505645711.A.903"
"147",2017-09-17,"[問卦] 北韓旅遊是不是最適合台灣人去?",-1,"M.1505645729.A.E56"
"148",2017-09-17,"[新聞] 兌現媽媽生前承諾　7旬婦攜母遺照環島",6,"M.1505645746.A.BA1"
"149",2017-09-17,"Re: [問卦] 失溫死掉很痛苦嗎？",255,"M.1505645862.A.9F4"
"150",2017-09-17,"[新聞] 德國邪教檢查表17項 符合程度越高越要小心",88,"M.1505645976.A.300"
"151",2017-09-17,"[問卦] 還有人用現金卡？",1,"M.1505645982.A.447"
"152",2017-09-17,"[新聞] 賴清德大秀電競語言 與電競族群交心",7,"M.1505646001.A.616"
"153",2017-09-17,"Re: [問卦] 為何台灣早期連女生都歧視女生",1,"M.1505646004.A.41C"
"154",2017-09-17,"[問卦] 光子發動後進入宇宙開放狀態光子開始疾走",-5,"M.1505646022.A.B3A"
"155",2017-09-17,"[新聞] 金門首場博弈說明會 有人倡議太武山開發",12,"M.1505646036.A.1A0"
"156",2017-09-17,"Re: [新聞] 目睹妙禪救活弟子　長庚醫師當眾懺悔過去",3,"M.1505646065.A.A07"
"157",2017-09-17,"Re: [新聞] 「要好好面對自己」女醫告男友10年前性侵",1,"M.1505646106.A.A7A"
"158",2017-09-17,"[新聞] 網友擔心妙禪真的是佛 他分析佛法被推爆",-5,"M.1505646129.A.31D"
"159",2017-09-17,"[問卦] 為什麼女生打槍肥宅時都不肯說實話?",9,"M.1505646145.A.A32"
"160",2017-09-17,"[問卦] 為什麼助理都是女的？",17,"M.1505646166.A.2B9"
"161",2017-09-17,"[問卦] 女生沒有雞雞是怎麼樣尿尿的？",-4,"M.1505646166.A.29E"
"162",2017-09-17,"Re: [問卦] 有人沒去過九份的嗎? 值不值得去阿?",5,"M.1505646210.A.3C7"
"163",2017-09-17,"[新聞] 選手出國缺經費 體育署花2000萬辦演唱會",2,"M.1505646235.A.C34"
"164",2017-09-17,"[問卦] 等你有小孩就知道？",1,"M.1505646237.A.93D"
"165",2017-09-17,"[問卦] 開車出遊最討厭遇到哪種朋友?",7,"M.1505646238.A.E46"
"166",2017-09-17,"Re: [問卦] 有人沒去過九份的嗎? 值不值得去阿?",0,"M.1505646241.A.58F"
"167",2017-09-17,"[問卦] 民雄必玩？？？？",5,"M.1505646251.A.583"
"168",2017-09-17,"[問卦] 有沒有無知很可怕的八卦",0,"M.1505646270.A.2D8"
"169",2017-09-17,"[問卦] 有沒有二輪嘴臉的掛?",-7,"M.1505646280.A.7AB"
"170",2017-09-17,"[新聞] 重拾藍染舊技藝 染出烏塗新生命",-17,"M.1505646316.A.B42"
"171",2017-09-17,"[問卦] blairx只會欺負台灣人的八卦？",195,"M.1505646332.A.F34"
"172",2017-09-17,"[問卦] 有沒有犬夜叉是女學生愛的8+9的八卦？",3,"M.1505646335.A.FA6"
"173",2017-09-17,"[問卦] Dcard潮潮是怎樣看ptt肥宅der?",2,"M.1505646459.A.4EF"
"174",2017-09-17,"[問卦] 為什麼海邊玩水很容易累？",4,"M.1505646488.A.71E"
"175",2017-09-17,"[新聞] 女店員接到訂位電話竟傳來「嬌喘聲」！",-17,"M.1505646502.A.997"
"176",2017-09-17,"[新聞] 業力引爆 前信徒：妙禪不倒 修行不會好",19,"M.1505646525.A.A49"
"177",2017-09-17,"[問卦] 統聯新車的輪椅使用者優先區",11,"M.1505646538.A.AA3"
"178",2017-09-17,"Re: [新聞] 「要好好面對自己」女醫告男友10年前性侵",6,"M.1505646544.A.71D"
"179",2017-09-17,"[問卦] 新加坡房價年減2.1%？？",5,"M.1505646556.A.6E8"
"180",2017-09-17,"[問卦] 最變態的歌詞是哪一首？",12,"M.1505646660.A.CFB"
"181",2017-09-17,"[問卦] 愛抱怨的魯蛇是不是都沒有被升職加薪過？",3,"M.1505646721.A.1FA"
"182",2017-09-17,"[問卦] 妙禪是台灣目前史上成佛次數最多的人嗎",3,"M.1505646759.A.519"
"183",2017-09-17,"[問卦] 貓貓站崗有什麼意思?",8,"M.1505646777.A.A0E"
"184",2017-09-17,"Re: [新聞] 金門首場博弈說明會 有人倡議太武山開發",3,"M.1505646838.A.0C9"
"185",2017-09-17,"[問卦] 有沒有不怎樣的人莫名有好評價的八卦",0,"M.1505646888.A.594"
"186",2017-09-17,"[問卦] 有沒有抗藍光的八卦?",3,"M.1505646896.A.A77"
"187",2017-09-17,"[問卦] 妙禪怎麼不去醫學系當客座教授",7,"M.1505646920.A.1D6"
"188",2017-09-17,"[新聞] 法國預警 提防火車脫軌及飲食投毒恐攻",3,"M.1505646932.A.8E6"
"189",2017-09-17,"[ＦＢ] 周玉蔻:民進黨立委誰還<U+6CA1>連署？！ 點名！",60,"M.1505646959.A.D1A"
"190",2017-09-17,"[問卦] seafood的後台到底有多硬?",8,"M.1505646962.A.0E5"
"191",2017-09-17,"[問卦] 巨業 vs 大甲行 台灣最速是哪家?",15,"M.1505647016.A.126"
"192",2017-09-17,"[問卦] 游泳池有很多人穿三角泳褲嗎？",0,"M.1505647029.A.FE9"
"193",2017-09-17,"[新聞] 苛責化寬容　游竣宇父邀司機參加追思會",4,"M.1505647050.A.A53"
"194",2017-09-17,"Re: [問卦] Dcard潮潮是怎樣看ptt肥宅der?",1,"M.1505647051.A.0BE"
"195",2017-09-17,"Re: [問卦] SEIKO中階機械錶CP值比不贏Orient的卦?",4,"M.1505647069.A.066"
"196",2017-09-17,"[問卦] 8+9是不是古代詩人",3,"M.1505647086.A.98F"
"197",2017-09-17,"[新聞] 家長沒顧好　3幼童20秒相繼落水溺斃",7,"M.1505647106.A.16E"
"198",2017-09-17,"Re: [爆卦] 九份老街被日韓人包圍了",5,"M.1505647171.A.C05"
"199",2017-09-17,"[問卦] 男生穿女版的褲子正常ㄇ",-1,"M.1505647212.A.275"
"200",2017-09-17,"Re: [新聞] 金門首場博弈說明會 有人倡議太武山開發",-3,"M.1505647216.A.F26"
"201",2017-09-17,"[問卦] 有人買速食忘了給薯條的卦嗎?",-4,"M.1505647235.A.0F2"
"202",2017-09-17,"[問卦] 八卦板有幾成脫魯",-1,"M.1505647253.A.9F0"
"203",2017-09-17,"[問卦] 當伴郎要住意什麼",6,"M.1505647268.A.945"
"204",2017-09-17,"[新聞] 黨公職募款不力罰不罰 吳敦義嘆：以身作",2,"M.1505647280.A.30E"
"205",2017-09-17,"Re: [問卦] 為啥只有馬來華人不願意融入當地",7,"M.1505647293.A.4E1"
"206",2017-09-17,"[問卦] 賣「藏壽司」候補卷 生意可行嗎",9,"M.1505647306.A.5E4"
"207",2017-09-17,"[新聞] 荔枝椿象超毒！農民採摘龍眼常遭毒液噴傷",20,"M.1505647391.A.5FB"
"208",2017-09-17,"[問卦] 我明天要去吃原燒大家推薦哪個主餐",2,"M.1505647446.A.315"
"209",2017-09-17,"[問卦] 肥宅想當星期幾？",2,"M.1505647461.A.866"
"210",2017-09-17,"[問卦] 妙禪的實驗禪園到底是什麼？",3,"M.1505647493.A.430"
"211",2017-09-17,"Re: [問卦] Dcard潮潮是怎樣看ptt肥宅der?",1,"M.1505647507.A.A33"
"212",2017-09-17,"[問卦] iphone8和iphoneX如何抉擇？",8,"M.1505647516.A.B70"
"213",2017-09-17,"[問卦] 有個藝人說我才是他親生爸爸怎麼辦?",0,"M.1505647597.A.FB1"
"214",2017-09-17,"Re: [問卦] 民雄必玩？？？？",0,"M.1505647652.A.0D9"
"215",2017-09-17,"Re: [新聞] 店家結束營業 掛布條謝林佳龍德政",3,"M.1505647670.A.533"
"216",2017-09-17,"[新聞] 西日本新聞台北分社社長 在台車禍身亡",62,"M.1505647671.A.941"
"217",2017-09-17,"Re: [問卦] 為何在婚姻版po文會被噓爆？",-1,"M.1505647710.A.30E"
"218",2017-09-17,"[問卦] 公主都是自己養出來的",8,"M.1505647732.A.EF0"
"219",2017-09-17,"Re: [新聞] 民調：時代力量支持度大幅下滑 剩6.4",-1,"M.1505647757.A.7A0"
"220",2017-09-17,"[問卦] 騎車被鳥屎擊中是什麼感覺？",5,"M.1505647762.A.ACF"
"221",2017-09-17,"[問卦] 為何台人異鄉見台人多半會閃？",5,"M.1505647804.A.503"
"222",2017-09-17,"[問卦] 兩個肥宅模仿夜神月跟Ｌ比賽網球",4,"M.1505647826.A.275"
"223",2017-09-17,"[問卦] 24孝哪則最唬爛!?",41,"M.1505647838.A.125"
"224",2017-09-17,"[問卦] 當黑人or黃種人你選哪個？",4,"M.1505647879.A.81B"
"225",2017-09-17,"[問卦] 送seafood oppo會法喜嗎？",4,"M.1505647902.A.6FA"
"226",2017-09-17,"Re: [新聞] 工程師被騙婚自殺　嫩妻：心軟沒提早分手",9,"M.1505647915.A.426"
